
ICICI TID NO, HDFC TID NO, MID NO, SERIAL NO,LOCATION,DEPARTMENT,AMEX NO, SIM CARD, TERMINAL TYPE,VENDOR, COMPANY, STATUS, REMARKS, IS AMEX
,40936175,470000074052200,13167CT20486358,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936176,470000074052200,13164CT20467951,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936174,470000074052200,13165CT20475626,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936201,,13151CT20402602,Ticketing counter,Ticketing,1773430,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
62564131,,470000074052200,13274CT20954100,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564109,,470000074052200,13274CT20954065,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564110,,470000074052200,13274CT20950026,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936195,,13165CT20476051,Ticketing counter,Ticketing,1773416,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
,40936179,470000074052200,13164CT20468045,Ticketing counter (upgrade),Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936198,470000074052200,13110CT20222699,Ticketing counter (upgrade),Ticketing,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564116,,470000074052200,13269CT20928196,Return Ticketing counter ,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936172,470000074052200,1315CT20402539,Return Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
,40936184,470000074052200,14007WL21307927,Ticketing counter,Ticketing,,Airtel,GPRS Terminal,Pine Labs,Theme Park,Working,Charging port is faulty. Call logged at Plutus Support
machine replaced now its working fine.

old serial no :12086WL60495608,NA
,40936187,470000074052200,13335WL21158292,Ticketing counter,Ticketing,,Airtel,GPRS Terminal,Pine Labs,Theme Park,Not Working,charging port issue not able to charge the gprs machine.,NA
,40936190,470000074052200,12090WL60505725,ReturnTicketing counter,Ticketing,,Vodafone,GPRS Terminal,Pine Labs,Theme Park,Working,,NA
,40936186,470000074052200,12090WL60505798,Return Ticketing counter  (Rajasaurus),Ticketing,,Vodafone,GPRS Terminal,Pine Labs,Theme Park,Working,,NA
62500706,,470000074052200,15085WL81110771,Ticketing counter,Ticketing,,Vodafone,GPRS Terminal,ICICI,Theme Park,Working,,NA
62564134,,470000074052200,14362CT23182695,Locker Counter POS1,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
