
ICICI TID NO, HDFC TID NO, MID NO, SERIAL NO,LOCATION,DEPARTMENT,AMEX NO, SIM CARD, TERMINAL TYPE,VENDOR, COMPANY, STATUS, REMARKS, IS AMEX
40936174,,,13165CT20475626,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936201,,,13151CT20402602,Ticketing counter,Ticketing,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
62564131,,,13274CT20954100,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564109,,,13274CT20954065,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564110,,,13274CT20950026,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936195,,,13165CT20476051,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
40936179,,,13164CT20468045,Ticketing counter (upgrade),Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936198,,,13110CT20222699,Ticketing counter (upgrade),Ticketing,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564116,,,13269CT20928196,Return Ticketing counter ,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936172,,,1315CT20402539,Return Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936193,,,13165CT20476220,Retail store (Novotel),Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564127,,,1436CT23180327,KIOSK5 (Salimgarh),Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564134,,,14362CT23182695,Locker Counter POS1,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564111,,,13274CT20953535,Locker Counter POS2,Ticketing,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564116,,,13269CT20928196,Locker Counter POS3,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564118,,,13288CT21016479,Locker Counter POS4,Ticketing,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564123,,,13287CT21013565,Locker Counter POS5,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564117,,,13255CT20861104,Locker Counter POS6,Ticketing,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564133,,,13274CT20954216,Locker Counter POS7,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564136,,,13274CT20954066,Locker Counter POS8,Ticketing,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564120,,,13274CT20954365,Counter POS9 (MRS),Retail,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564142,,,14298CT22812690,D-Block Retail,Retail,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564126,,,13274CT20955171,Cones,FnB,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564135,,,13274CT20954312,Ammos POS1,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564137,,,13274CT20954565,Ammos POS2,FnB,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564119,,,14008CT21397433,Ammos POS3,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
40936156,,,13166CT20479047,Ammos POS4,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,AMEX
62564132,,,13274CT20954297,Ammos POS5,FnB,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564125,,,13274CT20954372,Salty,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564083,,,13274CT20955017,Sunbeatz POS1,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564125,,,14007CT21396217,SunBeatz bar1,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564129,,,13274CT20954237,Redbonnet POS1,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564128,,,13269CT20928237,Redbonnet POS2,FnB,,Vodafone,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564127,,,14362CT23180327,Ammos bar 2,FnB,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
40940270,,,13166CT20478960,DIGIphoto (MRS),Retail,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
62564121,,,13287CT21014254,WAVE POOL,Retail,,Airtel,EDC Terminal,Pine Labs,Water Park,Working,,NA
40940256,,,13164CT20468467,SNOW RETAIL  (Master),Retail,,Vodafone,EDC Terminal,Pine Labs,Snow Park,Working,,NA
40940257,,,13002CT2042506,SNOW RETAIL  (Counter),Retail,,Vodafone,EDC Terminal,Pine Labs,Snow Park,Working,,NA
40936202,,,13165CT20475576,DIGIPHOTO SNOW,IT,,Vodafone,EDC Terminal,Pine Labs,Snow Park,Working,,NA
40940256,,,13164CT20468467,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
40936162,,,14292CT22769480,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
40936192,,,13152CT20407107,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
40940257,,,13164CT20467858,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
40936166,,,13199CT20630609,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
62564145,,,14298CT22812945,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
62564127,,,14362CT23180327,SPARE IN Waterpark,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
