
ICICI TID NO, HDFC TID NO, MID NO, SERIAL NO,LOCATION,DEPARTMENT,AMEX NO, SIM CARD, TERMINAL TYPE,VENDOR, COMPANY, STATUS, REMARKS, IS AMEX
40940255,,,13274CT20951286,Mumbai chaat counter,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936158,,,13165CT20476765,Italian counter,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
40936182,,,13274CT20954711,Indian counter,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564114,,,13255CT20861114,Arrmada Restaurent,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564119,,,13164CT20467955,ZeZe Restaurent,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936164,,,15165CT23824416,ZeZe Restaurent,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936170,,,13164CT20467760,ZeZe Restaurent (BAR),FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936165,,,13125CT20730624,Imagica capital,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40940264,,,14325CT22948282,Imagica capital,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936194,,,13166CT20478347,Red Bonnet,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564143,,,14298CT22812989,Red Bonnet,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40940270,,,14336CT23021618,Red Bonnet,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564114,,,13255CT20861114,Arrmada Restaurent,FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936168,,,14162CT22065180,Arrival plaza (Food kiosk),FnB,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564124,,,13274CT20954242,CIRCUS (Retail kiosk1),Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40940261,,,13165CT20475956,KIOSK2 (KidsZone),Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40940260,,,13165CT20475643,KIOSK3 (Red Bonnet),Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40940262,,,13165CT20475917,KIOSK4 (Rajasaurus),Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
62564144,,,15165CT23824242,Main Retail Store,Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
72056681,,,14292CT22769480,Main Retail Store,Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
40940254,,,14305CT22852518,CANDY (SUGARBUZZ),Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
62564115,,,14298CT22813470,CANDY (DIGI-photo),Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936163,,,12230CT71710497,WOG Retail Store,Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936192,,,13152CT20407107,I FOR INDIA Retail Store,Retail,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
62564146,,,14298CT22812809,Exit Nitro Store,Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936160,,,13201CT20640275,GOLD RUSH (Digi-photo),Retail,,Vodafone,EDC Terminal,Pine Labs,Theme Park,Working,,AMEX
40936175,,,13167CT20486358,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
40936176,,,13164CT20467951,Ticketing counter,Ticketing,,Airtel,EDC Terminal,Pine Labs,Theme Park,Working,,NA
